ꔁ,,,,ꔅ,ꔆ,ꔇ,,ꔉ,,,ꔌ,ꔍ,,ꔏ,ꔀ
,,ꔒ,,ꔔ,ꔕ,ꔖ,ꔗ,ꔘ,ꔙ,ꔚ,ꔛ,,,ꔞ,ꔟ
ꔠ,ꔡ,ꔢ,ꔣ,,,,ꔧ,,,,ꔫ,ꔬ,,ꔮ,ꔯ
ꔰ,ꔱ,ꔲ,ꔳ,ꔴ,ꔵ,ꔶ,,,ꔹ,,,,ꔽ,ꔾ,ꔿ
ꕀ,ꕁ,ꕂ,ꕃ,ꕄ,,ꕆ,,ꕈ,ꕉ,ꕊ,,,,,
,ꕑ,,,,ꕕ,ꕖ,,,,,,,,ꕞ,
,,ꕢ,ꕣ,ꕤ,ꕥ,,ꕧ,,,,,ꕬ,,ꕮ,
,,,,,,,,,,,ꕻ,ꕼ,ꕽ,ꕾ,ꕿ
,,,,,ꖅ,,,,ꖉ,ꖊ,ꖋ,,,,ꖏ
ꖐ,ꖑ,ꖒ,,,,,,ꖘ,,,ꖛ,ꖜ,,,
,,,,,,,,,,,,,,,
,,,,ꖴ,ꖵ,ꖶ,ꖷ,ꖸ,ꖹ,ꖺ,ꖻ,ꖼ,ꖽ,ꖾ,ꖿ
,,ꗂ,,,,,ꗇ,ꗈ,ꗉ,ꗊ,,,ꗍ,ꗎ,ꗏ
,,,ꗓ,,ꗕ,,,,,ꗚ,ꗛ,ꗜ,ꗝ,ꗞ,
ꗠ,ꗡ,ꗢ,ꗣ,ꗤ,ꗥ,ꗦ,,ꗨ,ꗩ,ꗪ,ꗫ,ꗬ,ꗭ,ꗮ,ꗯ
ꗰ,,,ꗳ,,ꗵ,,,,,,,,,,
,,,ꘃ,ꘄ,ꘅ,,,ꘈ,,,,,,,
,ꘑ,ꘒ,,,,ꘖ,,,,ꘚ,,ꘜ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
𐊘,𐊙,𐊚,𐊛,𐊜,,,,,,,,,,,
,,,,,,,,,,,,,,,
᐀,ᐁ,ᐂ,ᐃ,ᐄ,ᐅ,ᐆ,ᐇ,ᐈ,ᐉ,ᐊ,ᐋ,ᐌ,ᐍ,ᐎ,ᐏ
ᐐ,ᐑ,ᐒ,ᐓ,ᐔ,ᐕ,ᐖ,,,,,,,,,
,,,,,,,,,,,ᐫ,ᐬ,ᐭ,ᐮ,ᐯ
ᐰ,ᐱ,ᐲ,ᐳ,ᐴ,ᐵ,ᐶ,ᐷ,ᐸ,ᐹ,ᐺ,ᐻ,ᐼ,ᐽ,ᐾ,ᐿ
ᑀ,ᑁ,ᑂ,ᑃ,ᑄ,ᑅ,ᑆ,ᑇ,ᑈ,ᑉ,ᑊ,ᑋ,ᑌ,ᑍ,ᑎ,ᑏ
ᑐ,ᑑ,ᑒ,ᑓ,ᑔ,ᑕ,ᑖ,ᑗ,ᑘ,ᑙ,ᑚ,ᑛ,ᑜ,ᑝ,ᑞ,ᑟ
ᑠ,ᑡ,ᑢ,ᑣ,ᑤ,ᑥ,ᑦ,ᑧ,ᑨ,ᑩ,ᑪ,ᑫ,ᑬ,ᑭ,ᑮ,ᑯ
ᑰ,ᑱ,ᑲ,ᑳ,ᑴ,ᑵ,ᑶ,ᑷ,ᑸ,ᑹ,ᑺ,ᑻ,ᑼ,ᑽ,,
,,,,,,ᒆ,ᒇ,ᒈ,ᒉ,ᒊ,,,,,ᒏ
ᒐ,ᒑ,ᒒ,ᒓ,ᒔ,ᒕ,ᒖ,ᒗ,ᒘ,ᒙ,ᒚ,ᒛ,ᒜ,ᒝ,ᒞ,ᒟ
ᒠ,ᒡ,ᒢ,ᒣ,ᒤ,,,,,ᒩ,,ᒫ,ᒬ,ᒭ,ᒮ,ᒯ
ᒰ,ᒱ,ᒲ,,,,,,,,,,,,,
ᓀ,ᓁ,ᓂ,ᓃ,ᓄ,ᓅ,ᓆ,ᓇ,ᓈ,ᓉ,ᓊ,ᓋ,ᓌ,ᓍ,ᓎ,ᓏ
ᓐ,ᓑ,ᓒ,ᓓ,,,,,,,,,,ᓝ,ᓞ,ᓟ
,,,,ᓤ,,,,,,,,,,,
,,,,ᓴ,,,,,,,,,,ᓾ,ᓿ
ᔀ,ᔁ,ᔂ,,,,,,,,,ᔋ,,,,
,,ᔒ,,,,,ᔗ,ᔘ,,,,,,,
,ᔡ,ᔢ,ᔣ,,ᔥ,ᔦ,ᔧ,,ᔩ,,,ᔬ,,,ᔯ
ᔰ,,,,,ᔵ,ᔶ,ᔷ,,ᔹ,ᔺ,ᔻ,ᔼ,,,
,,,,,,,,ᕈ,ᕉ,ᕊ,ᕋ,ᕌ,ᕍ,ᕎ,ᕏ
,,,,ᕔ,ᕕ,ᕖ,ᕗ,ᕘ,ᕙ,ᕚ,ᕛ,,,,
,,,,ᕤ,ᕥ,ᕦ,ᕧ,ᕨ,,,,,,,
ᕰ,ᕱ,ᕲ,ᕳ,,,ᕶ,ᕷ,ᕸ,ᕹ,,,,,,
,,,,,,,,,,,ᖋ,,,,
,,,,,,,ᖗ,ᖘ,ᖙ,ᖚ,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ᗞ,ᗟ
ᗠ,,,,ᗤ,ᗥ,ᗦ,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ᘐ,,ᘒ,,,,,,,,,,,,,
,,,,ᘤ,ᘥ,ᘦ,,,,,,,,,
ᘰ,ᘱ,ᘲ,,,,,,,,,,,,,
,,ᙂ,ᙃ,ᙄ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 ,ᚁ,ᚂ,ᚃ,ᚄ,ᚅ,ᚆ,ᚇ,ᚈ,ᚉ,ᚊ,ᚋ,ᚌ,ᚍ,ᚎ,ᚏ
ᚐ,ᚑ,ᚒ,ᚓ,ᚔ,ᚕ,ᚖ,,,,,,,,,
ᚠ,ᚡ,,,,,,,ᚨ,ᚩ,ᚪ,,,,,
